income,Daily_price,Size,Area
423,150,1.5,Manhattan
785,259,1.5,Manhattan
628,96,1.5,Manhattan
161,145,1.5,Brooklyn
123,95,1.5,Manhattan
6195,295,1.5,Manhattan
383,175,1.5,Manhattan
4966,451,1.5,Brooklyn
3255,155,1.5,Manhattan
5250,250,1.5,Manhattan
1449,69,1.5,Bronx
833,250,1.5,Manhattan
316,155,1.5,Brooklyn
2709,129,1.5,Queens
100,98,1.5,Brooklyn
3150,150,1.5,Brooklyn
823,55,1.5,Manhattan
6300,300,1.5,Manhattan
798,38,1.5,Queens
3675,175,1.5,Manhattan
410,75,1.5,Manhattan
3218,250,1.5,Brooklyn
1512,72,1.5,Brooklyn
549,165,1.5,Brooklyn
2179,135,1.5,Brooklyn
66,130,1.5,Brooklyn
2919,139,1.5,Brooklyn
845,88,1.5,Brooklyn
492,80,1.5,Brooklyn
3150,150,1.5,Manhattan
2844,200,1.5,Manhattan
798,38,1.5,Queens
35,90,1.5,Brooklyn
4037,450,1.5,Brooklyn
620,130,1.5,Brooklyn
1869,89,1.5,Brooklyn
1265,198,1.5,Manhattan
2079,99,1.5,Manhattan
1382,140,1.5,Manhattan
495,500,1.5,Brooklyn
672,32,1.5,Queens
5250,250,1.5,Manhattan
1260,60,1.5,Brooklyn
365,75,1.5,Manhattan
273,350,1.5,Brooklyn
117,205,1.5,Manhattan
85,219,1.5,Brooklyn
2205,105,1.5,Brooklyn
2504,175,1.5,Manhattan
959,170,1.5,Manhattan
961,75,1.5,Brooklyn
616,37,1.5,Bronx
979,85,1.5,Brooklyn
2226,106,1.5,Brooklyn
152,79,1.5,Manhattan
783,85,1.5,Brooklyn
1064,215,1.5,Manhattan
5250,250,1.5,Manhattan
1029,49,1.5,Manhattan
1911,91,1.5,Brooklyn
5832,400,1.5,Manhattan
671,150,1.5,Brooklyn
36000,2000,1.5,Manhattan
666,100,1.5,Manhattan
7260,550,1.5,Manhattan
2444,189,1.5,Manhattan
1829,130,1.5,Manhattan
423,300,1.5,Manhattan
3528,280,1.5,Queens
3300,220,1.5,Queens
3260,199,1.5,Manhattan
1598,120,1.5,Manhattan
2625,125,1.5,Bronx
1470,70,1.5,Brooklyn
1470,70,1.5,Brooklyn
84,100,1.5,Manhattan
2079,99,1.5,Brooklyn
68,250,1.5,Manhattan
1413,170,1.5,Brooklyn
1332,165,1.5,Manhattan
260,85,1.5,Brooklyn
1319,99,1.5,Manhattan
31,255,1.5,Manhattan
3549,169,1.5,Brooklyn
1268,99,1.5,Brooklyn
923,169,1.5,Manhattan
941,160,1.5,Brooklyn
993,215,1.5,Brooklyn
2730,130,1.5,Brooklyn
1109,111,1.5,Manhattan
2919,139,1.5,Manhattan
1575,75,1.5,Queens
478,149,1.5,Manhattan
1050,50,1.5,Manhattan
903,43,1.5,Brooklyn
467,42,1.5,Brooklyn
936,85,1.5,Brooklyn
2205,105,1.5,Brooklyn
509,265,1.5,Brooklyn
1428,68,1.5,Manhattan
2546,175,1.5,Manhattan
2079,99,1.5,Brooklyn
2100,100,1.5,Brooklyn
1890,90,1.5,Manhattan
2400,160,1.5,Manhattan
423,100,1.5,Brooklyn
3574,190,1.5,Brooklyn
609,67,1.5,Brooklyn
194,190,1.5,Manhattan
2001,248,1.5,Brooklyn
114,100,1.5,Brooklyn
1995,95,1.5,Manhattan
3150,150,1.5,Manhattan
2432,145,1.5,Brooklyn
331,41,1.5,Brooklyn
1580,120,1.5,Brooklyn
283,157,1.5,Brooklyn
901,195,1.5,Brooklyn
1130,70,1.5,Brooklyn
514,125,1.5,Manhattan
333,185,1.5,Brooklyn
892,145,1.5,Brooklyn
1050,50,1.5,Queens
3885,185,1.5,Brooklyn
306,150,1.5,Brooklyn
2273,250,1.5,Manhattan
912,80,1.5,Manhattan
4830,230,1.5,Manhattan
126,100,1.5,Brooklyn
1659,79,1.5,Brooklyn
3240,200,1.5,Queens
1728,300,1.5,Manhattan
420,100,1.5,Brooklyn
1680,80,1.5,Manhattan
380,110,1.5,Brooklyn
513,100,1.5,Manhattan
696,55,1.5,Manhattan
556,75,1.5,Brooklyn
2821,146,1.5,Manhattan
1301,102,1.5,Brooklyn
321,100,1.5,Brooklyn
866,199,1.5,Manhattan
2667,127,1.5,Manhattan
441,150,1.5,Brooklyn
573,69,1.5,Manhattan
621,230,1.5,Brooklyn
48,95,1.5,Manhattan
1356,79,1.5,Brooklyn
2902,140,1.5,Brooklyn
4011,191,1.5,Brooklyn
758,75,1.5,Staten Island
4000,220,1.5,Brooklyn
1680,80,1.5,Brooklyn
1680,80,1.5,Brooklyn
4958,250,1.5,Manhattan
1519,135,1.5,Brooklyn
2310,110,1.5,Manhattan
2100,100,1.5,Brooklyn
897,130,1.5,Manhattan
1869,89,1.5,Queens
24,200,1.5,Brooklyn
558,99,1.5,Brooklyn
2940,140,1.5,Manhattan
277,70,1.5,Queens
73,270,1.5,Manhattan
2310,110,1.5,Brooklyn
3759,179,1.5,Manhattan
168,55,1.5,Queens
914,110,1.5,Manhattan
4037,325,1.5,Manhattan
1575,75,1.5,Queens
305,45,1.5,Queens
1728,300,1.5,Brooklyn
1060,89,1.5,Manhattan
3570,170,1.5,Manhattan
2532,200,1.5,Manhattan
3596,180,1.5,Brooklyn
2038,325,1.5,Brooklyn
3360,160,1.5,Manhattan
3045,145,1.5,Manhattan
5061,241,1.5,Manhattan
81,300,1.5,Manhattan
1575,75,1.5,Queens
129,100,1.5,Manhattan
8379,399,1.5,Manhattan
1415,85,1.5,Brooklyn
403,80,1.5,Brooklyn
1933,360,1.5,Manhattan
1182,57,1.5,Brooklyn
2016,350,1.5,Brooklyn
353,110,1.5,Brooklyn
3766,223,1.5,Brooklyn
383,175,1.5,Manhattan
563,137,1.5,Brooklyn
176,280,1.5,Brooklyn
4179,199,1.5,Brooklyn
2717,588,1.5,Manhattan
790,42,1.5,Bronx
3780,180,1.5,Brooklyn
1211,236,1.5,Manhattan
54,85,1.5,Brooklyn
105,135,1.5,Manhattan
728,79,1.5,Queens
3129,149,1.5,Manhattan
107,65,1.5,Brooklyn
919,199,1.5,Brooklyn
13251,700,1.5,Manhattan
443,246,1.5,Manhattan
750,125,1.5,Manhattan
745,130,1.5,Manhattan
90,100,1.5,Brooklyn
5460,260,1.5,Brooklyn
3150,150,1.5,Brooklyn
821,119,1.5,Manhattan
176,125,1.5,Manhattan
8400,400,1.5,Manhattan
13388,850,1.5,Manhattan
2709,129,1.5,Brooklyn
2940,140,1.5,Manhattan
1254,200,1.5,Manhattan
131,67,1.5,Brooklyn
2016,96,1.5,Brooklyn
1224,199,1.5,Brooklyn
740,199,1.5,Brooklyn
1755,199,1.5,Brooklyn
80,89,1.5,Brooklyn
688,185,1.5,Manhattan
736,81,1.5,Manhattan
710,199,1.5,Brooklyn
663,199,1.5,Brooklyn
1146,199,1.5,Brooklyn
1021,199,1.5,Brooklyn
1349,199,1.5,Brooklyn
356,349,1.5,Brooklyn
127,249,1.5,Brooklyn
341,299,1.5,Brooklyn
161,179,1.5,Brooklyn
539,599,1.5,Brooklyn
43,110,1.5,Brooklyn
4620,220,1.5,Brooklyn
785,89,1.5,Brooklyn
3570,170,1.5,Brooklyn
349,65,1.5,Brooklyn
1797,495,1.5,Manhattan
2058,98,1.5,Brooklyn
2400,125,1.5,Brooklyn
1008,48,1.5,Brooklyn
1869,89,1.5,Brooklyn
2723,139,1.5,Brooklyn
