income,review_scores,Size,Area
3150,97,1.5,Manhattan
2844,97,1.5,Manhattan
798,97,1.5,Queens
35,87,1.5,Brooklyn
4037,99,1.5,Brooklyn
620,84,1.5,Brooklyn
1869,91,1.5,Brooklyn
1265,95,1.5,Manhattan
2079,80,1.5,Manhattan
1382,93,1.5,Manhattan
495,100,1.5,Brooklyn
672,98,1.5,Queens
5250,93,1.5,Manhattan
1260,99,1.5,Brooklyn
365,95,1.5,Manhattan
273,97,1.5,Brooklyn
117,100,1.5,Manhattan
85,100,1.5,Brooklyn
2205,91,1.5,Brooklyn
2504,92,1.5,Manhattan
959,94,1.5,Manhattan
961,94,1.5,Brooklyn
616,88,1.5,Bronx
979,93,1.5,Brooklyn
2226,,1.5,Brooklyn
152,100,1.5,Manhattan
783,97,1.5,Brooklyn
1064,96,1.5,Manhattan
5250,95,1.5,Manhattan
1029,97,1.5,Manhattan
1911,96,1.5,Brooklyn
5832,93,1.5,Manhattan
671,100,1.5,Brooklyn
36000,99,1.5,Manhattan
666,94,1.5,Manhattan
7260,100,1.5,Manhattan
2444,95,1.5,Manhattan
1829,98,1.5,Manhattan
423,98,1.5,Manhattan
3528,97,1.5,Queens
3300,94,1.5,Queens
3260,95,1.5,Manhattan
1598,95,1.5,Manhattan
2625,93,1.5,Bronx
1470,90,1.5,Brooklyn
1470,99,1.5,Brooklyn
84,100,1.5,Manhattan
2079,96,1.5,Brooklyn
68,90,1.5,Manhattan
1413,99,1.5,Brooklyn
1332,97,1.5,Manhattan
260,100,1.5,Brooklyn
1319,94,1.5,Manhattan
31,80,1.5,Manhattan
3549,96,1.5,Brooklyn
1268,93,1.5,Brooklyn
923,98,1.5,Manhattan
941,99,1.5,Brooklyn
993,95,1.5,Brooklyn
2730,92,1.5,Brooklyn
1109,90,1.5,Manhattan
2919,97,1.5,Manhattan
1575,96,1.5,Queens
478,96,1.5,Manhattan
1050,92,1.5,Manhattan
903,99,1.5,Brooklyn
467,93,1.5,Brooklyn
936,94,1.5,Brooklyn
2205,99,1.5,Brooklyn
509,100,1.5,Brooklyn
1428,95,1.5,Manhattan
2546,95,1.5,Manhattan
2079,96,1.5,Brooklyn
2100,97,1.5,Brooklyn
1890,,1.5,Manhattan
2400,91,1.5,Manhattan
423,95,1.5,Brooklyn
3574,97,1.5,Brooklyn
609,88,1.5,Brooklyn
194,100,1.5,Manhattan
2001,90,1.5,Brooklyn
114,98,1.5,Brooklyn
1995,93,1.5,Manhattan
3150,95,1.5,Manhattan
2432,98,1.5,Brooklyn
331,96,1.5,Brooklyn
1580,94,1.5,Brooklyn
283,95,1.5,Brooklyn
901,97,1.5,Brooklyn
1130,92,1.5,Brooklyn
514,93,1.5,Manhattan
333,96,1.5,Brooklyn
892,91,1.5,Brooklyn
1050,98,1.5,Queens
3885,97,1.5,Brooklyn
306,99,1.5,Brooklyn
2273,95,1.5,Manhattan
912,100,1.5,Manhattan
4830,97,1.5,Manhattan
126,93,1.5,Brooklyn
1659,95,1.5,Brooklyn
3240,90,1.5,Queens
1728,98,1.5,Manhattan
420,91,1.5,Brooklyn
1680,93,1.5,Manhattan
380,97,1.5,Brooklyn
513,95,1.5,Manhattan
696,93,1.5,Manhattan
556,94,1.5,Brooklyn
2821,91,1.5,Manhattan
1301,100,1.5,Brooklyn
321,86,1.5,Brooklyn
866,96,1.5,Manhattan
2667,93,1.5,Manhattan
441,95,1.5,Brooklyn
573,93,1.5,Manhattan
621,98,1.5,Brooklyn
48,95,1.5,Manhattan
1356,97,1.5,Brooklyn
2902,97,1.5,Brooklyn
4011,98,1.5,Brooklyn
758,90,1.5,Staten Island
4000,98,1.5,Brooklyn
1680,93,1.5,Brooklyn
1680,92,1.5,Brooklyn
4958,97,1.5,Manhattan
1519,98,1.5,Brooklyn
2310,90,1.5,Manhattan
2100,97,1.5,Brooklyn
897,97,1.5,Manhattan
1869,94,1.5,Queens
24,100,1.5,Brooklyn
558,96,1.5,Brooklyn
2940,98,1.5,Manhattan
277,84,1.5,Queens
73,100,1.5,Manhattan
2310,96,1.5,Brooklyn
3759,91,1.5,Manhattan
168,95,1.5,Queens
914,97,1.5,Manhattan
4037,97,1.5,Manhattan
1575,95,1.5,Queens
305,95,1.5,Queens
1728,99,1.5,Brooklyn
1060,98,1.5,Manhattan
3570,94,1.5,Manhattan
2532,93,1.5,Manhattan
3596,96,1.5,Brooklyn
2038,92,1.5,Brooklyn
3360,,1.5,Manhattan
3045,87,1.5,Manhattan
5061,,1.5,Manhattan
81,80,1.5,Manhattan
1575,98,1.5,Queens
129,97,1.5,Manhattan
8379,,1.5,Manhattan
1415,97,1.5,Brooklyn
403,100,1.5,Brooklyn
1933,93,1.5,Manhattan
1182,98,1.5,Brooklyn
2016,97,1.5,Brooklyn
353,100,1.5,Brooklyn
3766,99,1.5,Brooklyn
383,98,1.5,Manhattan
563,91,1.5,Brooklyn
176,95,1.5,Brooklyn
4179,93,1.5,Brooklyn
2717,99,1.5,Manhattan
790,95,1.5,Bronx
3780,92,1.5,Brooklyn
1211,93,1.5,Manhattan
54,95,1.5,Brooklyn
105,85,1.5,Manhattan
728,96,1.5,Queens
3129,89,1.5,Manhattan
107,85,1.5,Brooklyn
919,95,1.5,Brooklyn
13251,91,1.5,Manhattan
443,97,1.5,Manhattan
750,75,1.5,Manhattan
745,95,1.5,Manhattan
90,94,1.5,Brooklyn
5460,99,1.5,Brooklyn
3150,,1.5,Brooklyn
821,88,1.5,Manhattan
176,100,1.5,Manhattan
8400,,1.5,Manhattan
13388,98,1.5,Manhattan
2709,98,1.5,Brooklyn
2940,99,1.5,Manhattan
1254,99,1.5,Manhattan
131,96,1.5,Brooklyn
2016,98,1.5,Brooklyn
1224,97,1.5,Brooklyn
740,97,1.5,Brooklyn
1755,96,1.5,Brooklyn
80,95,1.5,Brooklyn
688,95,1.5,Manhattan
736,91,1.5,Manhattan
710,94,1.5,Brooklyn
663,97,1.5,Brooklyn
1146,96,1.5,Brooklyn
1021,98,1.5,Brooklyn
1349,98,1.5,Brooklyn
356,100,1.5,Brooklyn
127,100,1.5,Brooklyn
341,97,1.5,Brooklyn
161,97,1.5,Brooklyn
539,100,1.5,Brooklyn
43,90,1.5,Brooklyn
4620,97,1.5,Brooklyn
785,98,1.5,Brooklyn
3570,90,1.5,Brooklyn
349,97,1.5,Brooklyn
1797,99,1.5,Manhattan
2058,98,1.5,Brooklyn
2400,97,1.5,Brooklyn
1008,95,1.5,Brooklyn
1869,94,1.5,Brooklyn
2723,97,1.5,Brooklyn
212,95,1.5,Queens
1960,95,1.5,Manhattan
4095,100,1.5,Manhattan
1218,97,1.5,Manhattan
833,99,1.5,Staten Island
1050,,1.5,Staten Island
66,93,1.5,Manhattan
161,93,1.5,Staten Island
3969,91,1.5,Manhattan
433,98,1.5,Brooklyn
222,91,1.5,Manhattan
803,95,1.5,Manhattan
365,99,1.5,Manhattan
574,95,1.5,Manhattan
3213,93,1.5,Manhattan
800,93,1.5,Brooklyn
6300,88,1.5,Manhattan
3360,93,1.5,Brooklyn
784,82,1.5,Manhattan
158,,1.5,Manhattan
3885,99,1.5,Brooklyn
887,97,1.5,Queens
4475,100,1.5,Manhattan
1785,89,1.5,Manhattan
2079,100,1.5,Brooklyn
1008,96,1.5,Brooklyn
204,98,1.5,Manhattan
742,98,1.5,Manhattan
357,100,1.5,Manhattan
2289,90,1.5,Manhattan
1804,92,1.5,Manhattan
4620,,1.5,Manhattan
2016,91,1.5,Manhattan
767,100,1.5,Queens
128,98,1.5,Bronx
369,100,1.5,Brooklyn
1292,97,1.5,Manhattan
5491,83,1.5,Manhattan
647,91,1.5,Manhattan
174,100,1.5,Brooklyn
3224,96,1.5,Manhattan
192,98,1.5,Brooklyn
1995,98,1.5,Queens
150,87,1.5,Brooklyn
1785,96,1.5,Queens
160,95,1.5,Brooklyn
960,95,1.5,Manhattan
1047,90,1.5,Brooklyn
153,96,1.5,Brooklyn
400,97,1.5,Brooklyn
2625,82,1.5,Manhattan
342,97,1.5,Manhattan
3780,91,1.5,Manhattan
1260,87,1.5,Manhattan
3189,94,1.5,Manhattan
90,97,1.5,Brooklyn
369,91,1.5,Brooklyn
4992,92,1.5,Manhattan
4200,,1.5,Manhattan
1331,99,1.5,Manhattan
2310,89,1.5,Brooklyn
275,98,1.5,Brooklyn
66,100,1.5,Manhattan
107,90,1.5,Brooklyn
3465,94,1.5,Brooklyn
914,100,1.5,Brooklyn
5403,97,1.5,Brooklyn
1571,87,1.5,Manhattan
263,95,1.5,Brooklyn
576,95,1.5,Brooklyn
1197,89,1.5,Manhattan
12,73,1.5,Queens
25,,1.5,Brooklyn
14136,97,1.5,Brooklyn
833,91,1.5,Brooklyn
108,97,1.5,Manhattan
2730,98,1.5,Manhattan
216,93,1.5,Brooklyn
1280,95,1.5,Manhattan
2037,97,1.5,Brooklyn
977,89,1.5,Brooklyn
2625,96,1.5,Brooklyn
1575,,1.5,Brooklyn
546,93,1.5,Manhattan
5190,99,1.5,Manhattan
140,88,1.5,Brooklyn
446,94,1.5,Manhattan
3348,96,1.5,Manhattan
36,100,1.5,Manhattan
2310,97,1.5,Brooklyn
2415,,1.5,Brooklyn
979,93,1.5,Manhattan
576,83,1.5,Brooklyn
1604,99,1.5,Manhattan
2304,87,1.5,Brooklyn
1882,94,1.5,Brooklyn
2520,87,1.5,Brooklyn
5775,99,1.5,Brooklyn
850,94,1.5,Manhattan
489,91,1.5,Manhattan
437,100,1.5,Brooklyn
3843,97,1.5,Manhattan
9450,96,1.5,Manhattan
321,100,1.5,Manhattan
41,75,1.5,Queens
5250,97,1.5,Brooklyn
746,93,1.5,Manhattan
2520,89,1.5,Brooklyn
19,100,1.5,Queens
1890,97,1.5,Manhattan
257,97,1.5,Manhattan
216,96,1.5,Brooklyn
2100,,1.5,Brooklyn
2310,,1.5,Manhattan
1945,88,1.5,Brooklyn
1200,97,1.5,Brooklyn
173,100,1.5,Queens
2191,97,1.5,Brooklyn
2093,96,1.5,Manhattan
