Bookings,Daily_price,Size,Area
1.26,248,1.5,Brooklyn
0.18,100,1.5,Brooklyn
3.8,95,1.5,Manhattan
13.48,150,1.5,Manhattan
2.62,145,1.5,Brooklyn
1.26,41,1.5,Brooklyn
2.06,120,1.5,Brooklyn
0.28,157,1.5,Brooklyn
0.72,195,1.5,Brooklyn
2.52,70,1.5,Brooklyn
0.64,125,1.5,Manhattan
0.28,185,1.5,Brooklyn
0.96,145,1.5,Brooklyn
5.72,50,1.5,Queens
4.44,185,1.5,Brooklyn
0.32,150,1.5,Brooklyn
1.42,250,1.5,Manhattan
0.38,80,1.5,Manhattan
3.88,230,1.5,Manhattan
0.18,100,1.5,Brooklyn
3.36,79,1.5,Brooklyn
0.54,200,1.5,Queens
0.9,300,1.5,Manhattan
0.14,100,1.5,Brooklyn
0.72,80,1.5,Manhattan
0.54,110,1.5,Brooklyn
0.8,100,1.5,Manhattan
1.98,55,1.5,Manhattan
1.16,75,1.5,Brooklyn
3.02,146,1.5,Manhattan
0.44,102,1.5,Brooklyn
0.5,100,1.5,Brooklyn
0.68,199,1.5,Manhattan
4.46,127,1.5,Manhattan
0.46,150,1.5,Brooklyn
1.3,69,1.5,Manhattan
0.42,230,1.5,Brooklyn
0.08,95,1.5,Manhattan
2.68,79,1.5,Brooklyn
3.24,140,1.5,Brooklyn
3.62,191,1.5,Brooklyn
1.58,75,1.5,Staten Island
2.84,220,1.5,Brooklyn
6,80,1.5,Brooklyn
4.94,80,1.5,Brooklyn
3.1,250,1.5,Manhattan
1.76,135,1.5,Brooklyn
1.18,110,1.5,Manhattan
3.08,100,1.5,Brooklyn
1.08,130,1.5,Manhattan
5.82,89,1.5,Queens
0.02,200,1.5,Brooklyn
0.88,99,1.5,Brooklyn
2.26,140,1.5,Manhattan
0.62,70,1.5,Queens
0.04,270,1.5,Manhattan
6.48,110,1.5,Brooklyn
1.72,179,1.5,Manhattan
0.48,55,1.5,Queens
1.3,110,1.5,Manhattan
1.94,325,1.5,Manhattan
1.36,75,1.5,Queens
1.06,45,1.5,Queens
0.9,300,1.5,Brooklyn
1.7,89,1.5,Manhattan
2.8,170,1.5,Manhattan
1.98,200,1.5,Manhattan
3.12,180,1.5,Brooklyn
0.98,325,1.5,Brooklyn
,160,1.5,Manhattan
2.98,145,1.5,Manhattan
,241,1.5,Manhattan
0.04,300,1.5,Manhattan
1.04,75,1.5,Queens
0.2,100,1.5,Manhattan
,399,1.5,Manhattan
2.6,85,1.5,Brooklyn
0.24,80,1.5,Brooklyn
0.84,360,1.5,Manhattan
3.24,57,1.5,Brooklyn
0.9,350,1.5,Brooklyn
0.5,110,1.5,Brooklyn
2.64,223,1.5,Brooklyn
0.34,175,1.5,Manhattan
0.64,137,1.5,Brooklyn
0.1,280,1.5,Brooklyn
5.12,199,1.5,Brooklyn
0.72,588,1.5,Manhattan
2.94,42,1.5,Bronx
3.6,180,1.5,Brooklyn
0.8,236,1.5,Manhattan
0.1,85,1.5,Brooklyn
0.12,135,1.5,Manhattan
1.44,79,1.5,Queens
5.44,149,1.5,Manhattan
0.26,65,1.5,Brooklyn
0.72,199,1.5,Brooklyn
2.96,700,1.5,Manhattan
0.28,246,1.5,Manhattan
0.1,125,1.5,Manhattan
0.82,130,1.5,Manhattan
0.14,100,1.5,Brooklyn
6.94,260,1.5,Brooklyn
,150,1.5,Brooklyn
1.08,119,1.5,Manhattan
0.22,125,1.5,Manhattan
,400,1.5,Manhattan
2.46,850,1.5,Manhattan
5.38,129,1.5,Brooklyn
4.22,140,1.5,Manhattan
0.98,200,1.5,Manhattan
0.14,67,1.5,Brooklyn
0.26,96,1.5,Brooklyn
0.96,199,1.5,Brooklyn
0.58,199,1.5,Brooklyn
1.38,199,1.5,Brooklyn
0.14,89,1.5,Brooklyn
0.58,185,1.5,Manhattan
1.42,81,1.5,Manhattan
0.56,199,1.5,Brooklyn
0.52,199,1.5,Brooklyn
0.9,199,1.5,Brooklyn
0.8,199,1.5,Brooklyn
1.06,199,1.5,Brooklyn
0.16,349,1.5,Brooklyn
0.08,249,1.5,Brooklyn
0.18,299,1.5,Brooklyn
0.14,179,1.5,Brooklyn
0.14,599,1.5,Brooklyn
0.06,110,1.5,Brooklyn
5.34,220,1.5,Brooklyn
1.38,89,1.5,Brooklyn
4.14,170,1.5,Brooklyn
0.84,65,1.5,Brooklyn
0.52,495,1.5,Manhattan
4.68,98,1.5,Brooklyn
0.64,125,1.5,Brooklyn
1.06,48,1.5,Brooklyn
5.28,89,1.5,Brooklyn
3.06,139,1.5,Brooklyn
0.44,75,1.5,Queens
0.94,325,1.5,Manhattan
0.22,195,1.5,Manhattan
4.94,58,1.5,Manhattan
0.52,250,1.5,Staten Island
,50,1.5,Staten Island
0.08,130,1.5,Manhattan
0.2,125,1.5,Staten Island
6.68,189,1.5,Manhattan
0.52,130,1.5,Brooklyn
0.22,145,1.5,Manhattan
1.24,101,1.5,Manhattan
0.6,95,1.5,Manhattan
0.22,375,1.5,Manhattan
1.26,153,1.5,Manhattan
1.36,92,1.5,Brooklyn
3.5,300,1.5,Manhattan
2.3,160,1.5,Brooklyn
1.7,72,1.5,Manhattan
0.16,155,1.5,Manhattan
0.48,185,1.5,Brooklyn
1.9,73,1.5,Queens
2.74,255,1.5,Manhattan
3.46,85,1.5,Manhattan
1.22,99,1.5,Brooklyn
0.48,48,1.5,Brooklyn
0.16,200,1.5,Manhattan
0.22,485,1.5,Manhattan
0.16,350,1.5,Manhattan
