Occupancy_rate,Daily_price,Size,Area
66.1,89,1.5,Manhattan
26.9,135,1.5,Brooklyn
32.4,174,1.5,Brooklyn
27.7,89,1.5,Brooklyn
26.9,110,1.5,Manhattan
26.5,130,1.5,Brooklyn
70,78,1.5,Brooklyn
35.8,49,1.5,Brooklyn
25.2,79,1.5,Brooklyn
56,135,1.5,Manhattan
70,185,1.5,Brooklyn
26,225,1.5,Brooklyn
8.5,245,1.5,Manhattan
9.4,135,1.5,Manhattan
70,325,1.5,Brooklyn
70,95,1.5,Brooklyn
46.5,120,1.5,Manhattan
24.7,195,1.5,Brooklyn
70,499,1.5,Manhattan
70,88,1.5,Brooklyn
11.5,160,1.5,Brooklyn
49.9,219,1.5,Manhattan
11.1,218,1.5,Manhattan
20.9,159,1.5,Manhattan
10.2,180,1.5,Brooklyn
0.9,150,1.5,Manhattan
14.5,106,1.5,Manhattan
24,299,1.5,Manhattan
11.5,165,1.5,Brooklyn
4.3,500,1.5,Brooklyn
6.4,250,1.5,Manhattan
34.5,87,1.5,Manhattan
21.3,79,1.5,Brooklyn
70,75,1.5,Manhattan
70,200,1.5,Brooklyn
14.1,80,1.5,Manhattan
29.4,76,1.5,Brooklyn
26,75,1.5,Brooklyn
35.8,75,1.5,Brooklyn
70,125,1.5,Manhattan
23.5,387,1.5,Manhattan
37.1,95,1.5,Manhattan
17.9,99,1.5,Manhattan
7.3,121,1.5,Manhattan
39.7,75,1.5,Manhattan
59.3,95,1.5,Manhattan
3,195,1.5,Manhattan
70,160,1.5,Manhattan
24,70,1.5,Brooklyn
3.4,100,1.5,Manhattan
21.3,135,1.5,Manhattan
70,189,1.5,Manhattan
70,160,1.5,Brooklyn
4.8,178,1.5,Brooklyn
22.4,145,1.5,Brooklyn
3,125,1.5,Brooklyn
40.5,265,1.5,Manhattan
5.1,77,1.5,Brooklyn
68.3,129,1.5,Manhattan
19.6,199,1.5,Manhattan
21.9,92,1.5,Brooklyn
17.1,68,1.5,Brooklyn
24,115,1.5,Manhattan
6,133,1.5,Queens
3.4,97,1.5,Manhattan
29.4,80,1.5,Brooklyn
11.5,80,1.5,Manhattan
0.9,125,1.5,Brooklyn
3,120,1.5,Brooklyn
70,94,1.5,Brooklyn
32,56,1.5,Brooklyn
35.4,549,1.5,Manhattan
3.8,190,1.5,Brooklyn
30.3,139,1.5,Brooklyn
70,90,1.5,Brooklyn
42.7,20,1.5,Staten Island
9.8,145,1.5,Manhattan
