income,Occupancy_rate,Size,Area
573,27.7,1.5,Manhattan
621,9,1.5,Brooklyn
48,1.7,1.5,Manhattan
1356,57.2,1.5,Brooklyn
2902,69.1,1.5,Brooklyn
4011,70,1.5,Brooklyn
758,33.7,1.5,Staten Island
4000,60.6,1.5,Brooklyn
1680,70,1.5,Brooklyn
1680,70,1.5,Brooklyn
4958,66.1,1.5,Manhattan
1519,37.5,1.5,Brooklyn
2310,70,1.5,Manhattan
2100,70,1.5,Brooklyn
897,23,1.5,Manhattan
1869,70,1.5,Queens
24,0.4,1.5,Brooklyn
558,18.8,1.5,Brooklyn
2940,70,1.5,Manhattan
277,13.2,1.5,Queens
73,0.9,1.5,Manhattan
2310,70,1.5,Brooklyn
3759,70,1.5,Manhattan
168,10.2,1.5,Queens
914,27.7,1.5,Manhattan
4037,41.4,1.5,Manhattan
1575,70,1.5,Queens
305,22.6,1.5,Queens
1728,19.2,1.5,Brooklyn
1060,39.7,1.5,Manhattan
3570,70,1.5,Manhattan
2532,42.2,1.5,Manhattan
3596,66.6,1.5,Brooklyn
2038,20.9,1.5,Brooklyn
3360,70,1.5,Manhattan
3045,70,1.5,Manhattan
5061,70,1.5,Manhattan
81,0.9,1.5,Manhattan
1575,70,1.5,Queens
129,4.3,1.5,Manhattan
8379,70,1.5,Manhattan
1415,55.5,1.5,Brooklyn
403,16.8,1.5,Brooklyn
1933,17.9,1.5,Manhattan
1182,69.1,1.5,Brooklyn
2016,19.2,1.5,Brooklyn
353,10.7,1.5,Brooklyn
3766,56.3,1.5,Brooklyn
383,7.3,1.5,Manhattan
563,13.7,1.5,Brooklyn
176,2.1,1.5,Brooklyn
4179,70,1.5,Brooklyn
2717,15.4,1.5,Manhattan
790,62.7,1.5,Bronx
3780,70,1.5,Brooklyn
1211,17.1,1.5,Manhattan
54,2.1,1.5,Brooklyn
105,2.6,1.5,Manhattan
728,30.7,1.5,Queens
3129,70,1.5,Manhattan
107,5.5,1.5,Brooklyn
919,15.4,1.5,Brooklyn
13251,63.1,1.5,Manhattan
443,6,1.5,Manhattan
750,20,1.5,Manhattan
745,19.1,1.5,Manhattan
90,3,1.5,Brooklyn
5460,70,1.5,Brooklyn
3150,70,1.5,Brooklyn
821,23,1.5,Manhattan
176,4.7,1.5,Manhattan
8400,70,1.5,Manhattan
13388,52.5,1.5,Manhattan
2709,70,1.5,Brooklyn
2940,70,1.5,Manhattan
1254,20.9,1.5,Manhattan
131,6.5,1.5,Brooklyn
2016,70,1.5,Brooklyn
1224,20.5,1.5,Brooklyn
740,12.4,1.5,Brooklyn
1755,29.4,1.5,Brooklyn
80,3,1.5,Brooklyn
688,12.4,1.5,Manhattan
736,30.3,1.5,Manhattan
710,11.9,1.5,Brooklyn
663,11.1,1.5,Brooklyn
1146,19.2,1.5,Brooklyn
1021,17.1,1.5,Brooklyn
1349,22.6,1.5,Brooklyn
356,3.4,1.5,Brooklyn
127,1.7,1.5,Brooklyn
341,3.8,1.5,Brooklyn
161,3,1.5,Brooklyn
539,3,1.5,Brooklyn
43,1.3,1.5,Brooklyn
4620,70,1.5,Brooklyn
785,29.4,1.5,Brooklyn
3570,70,1.5,Brooklyn
349,17.9,1.5,Brooklyn
1797,12.1,1.5,Manhattan
2058,70,1.5,Brooklyn
2400,64,1.5,Brooklyn
1008,70,1.5,Brooklyn
1869,70,1.5,Brooklyn
2723,65.3,1.5,Brooklyn
212,9.4,1.5,Queens
1960,20.1,1.5,Manhattan
4095,70,1.5,Manhattan
1218,70,1.5,Manhattan
833,11.1,1.5,Staten Island
1050,70,1.5,Staten Island
66,1.7,1.5,Manhattan
161,4.3,1.5,Staten Island
3969,70,1.5,Manhattan
433,11.1,1.5,Brooklyn
222,5.1,1.5,Manhattan
803,26.5,1.5,Manhattan
365,12.8,1.5,Manhattan
574,5.1,1.5,Manhattan
3213,70,1.5,Manhattan
800,29,1.5,Brooklyn
6300,70,1.5,Manhattan
3360,70,1.5,Brooklyn
784,36.3,1.5,Manhattan
158,3.4,1.5,Manhattan
3885,70,1.5,Brooklyn
887,40.5,1.5,Queens
4475,58.5,1.5,Manhattan
1785,70,1.5,Manhattan
2079,70,1.5,Brooklyn
1008,70,1.5,Brooklyn
204,3.4,1.5,Manhattan
742,5.1,1.5,Manhattan
357,3.4,1.5,Manhattan
2289,70,1.5,Manhattan
1804,36,1.5,Manhattan
4620,70,1.5,Manhattan
2016,32,1.5,Manhattan
767,46.5,1.5,Queens
128,8.5,1.5,Bronx
369,20.5,1.5,Brooklyn
1292,43.5,1.5,Manhattan
5491,65.6,1.5,Manhattan
647,16.6,1.5,Manhattan
174,2,1.5,Brooklyn
3224,30.7,1.5,Manhattan
192,12.8,1.5,Brooklyn
1995,70,1.5,Queens
150,11.1,1.5,Brooklyn
1785,70,1.5,Queens
160,13.3,1.5,Brooklyn
960,12.8,1.5,Manhattan
1047,56.3,1.5,Brooklyn
153,8.5,1.5,Brooklyn
400,20.5,1.5,Brooklyn
2625,70,1.5,Manhattan
342,3.8,1.5,Manhattan
3780,70,1.5,Manhattan
1260,70,1.5,Manhattan
3189,21.3,1.5,Manhattan
90,3,1.5,Brooklyn
369,20.5,1.5,Brooklyn
4992,12.8,1.5,Manhattan
4200,70,1.5,Manhattan
1331,44.8,1.5,Manhattan
2310,70,1.5,Brooklyn
275,6.8,1.5,Brooklyn
66,2,1.5,Manhattan
107,3.4,1.5,Brooklyn
3465,70,1.5,Brooklyn
914,24,1.5,Brooklyn
5403,44.8,1.5,Brooklyn
1571,61.6,1.5,Manhattan
263,11.7,1.5,Brooklyn
576,25.6,1.5,Brooklyn
1197,70,1.5,Manhattan
12,1.3,1.5,Queens
25,1.3,1.5,Brooklyn
14136,58.9,1.5,Brooklyn
833,11.1,1.5,Brooklyn
108,1.8,1.5,Manhattan
2730,70,1.5,Manhattan
216,8,1.5,Brooklyn
1280,47.4,1.5,Manhattan
2037,70,1.5,Brooklyn
977,35.8,1.5,Brooklyn
2625,70,1.5,Brooklyn
1575,70,1.5,Brooklyn
546,10.7,1.5,Manhattan
5190,34.6,1.5,Manhattan
140,2.6,1.5,Brooklyn
446,8.5,1.5,Manhattan
3348,46.5,1.5,Manhattan
36,0.4,1.5,Manhattan
2310,70,1.5,Brooklyn
2415,70,1.5,Brooklyn
979,43.5,1.5,Manhattan
576,19.2,1.5,Brooklyn
1604,32.4,1.5,Manhattan
2304,25.6,1.5,Brooklyn
1882,44.8,1.5,Brooklyn
2520,70,1.5,Brooklyn
5775,70,1.5,Brooklyn
850,26,1.5,Manhattan
489,9.1,1.5,Manhattan
437,7.7,1.5,Brooklyn
3843,58.5,1.5,Manhattan
9450,70,1.5,Manhattan
321,4.3,1.5,Manhattan
41,2.1,1.5,Queens
5250,70,1.5,Brooklyn
746,17.9,1.5,Manhattan
2520,70,1.5,Brooklyn
19,0.9,1.5,Queens
1890,70,1.5,Manhattan
257,4.3,1.5,Manhattan
216,14.4,1.5,Brooklyn
2100,70,1.5,Brooklyn
2310,70,1.5,Manhattan
1945,41.3,1.5,Brooklyn
1200,20.1,1.5,Brooklyn
173,3,1.5,Queens
2191,36.7,1.5,Brooklyn
2093,46.5,1.5,Manhattan
2370,39.7,1.5,Brooklyn
2955,49.5,1.5,Brooklyn
710,11.9,1.5,Brooklyn
202,6.4,1.5,Brooklyn
1899,46.9,1.5,Brooklyn
1504,25.2,1.5,Brooklyn
274,7.3,1.5,Brooklyn
9,0.5,1.5,Brooklyn
2070,23,1.5,Manhattan
571,34.6,1.5,Queens
40,3,1.5,Brooklyn
162,9.8,1.5,Brooklyn
100,11.1,1.5,Brooklyn
1991,22.2,1.5,Brooklyn
22,2.1,1.5,Brooklyn
1119,67.8,1.5,Brooklyn
1575,70,1.5,Brooklyn
3990,70,1.5,Manhattan
5250,70,1.5,Manhattan
1850,64.9,1.5,Brooklyn
1058,25.2,1.5,Manhattan
441,29.4,1.5,Brooklyn
1575,70,1.5,Brooklyn
1260,70,1.5,Manhattan
275,6.1,1.5,Manhattan
5250,70,1.5,Manhattan
4305,70,1.5,Brooklyn
296,7.3,1.5,Brooklyn
1123,57.6,1.5,Brooklyn
393,22.2,1.5,Staten Island
356,15.8,1.5,Manhattan
207,8.1,1.5,Brooklyn
1373,42,1.5,Manhattan
795,48.2,1.5,Queens
1062,35.4,1.5,Brooklyn
2079,66,1.5,Manhattan
1765,66.1,1.5,Manhattan
1089,26.9,1.5,Brooklyn
1691,32.4,1.5,Brooklyn
740,27.7,1.5,Brooklyn
888,26.9,1.5,Manhattan
1034,26.5,1.5,Brooklyn
1638,70,1.5,Brooklyn
526,35.8,1.5,Brooklyn
597,25.2,1.5,Brooklyn
2268,56,1.5,Manhattan
3885,70,1.5,Brooklyn
1755,26,1.5,Brooklyn
625,8.5,1.5,Manhattan
381,9.4,1.5,Manhattan
6825,70,1.5,Brooklyn
1995,70,1.5,Brooklyn
1674,46.5,1.5,Manhattan
1445,24.7,1.5,Brooklyn
10479,70,1.5,Manhattan
1848,70,1.5,Brooklyn
552,11.5,1.5,Brooklyn
3278,49.9,1.5,Manhattan
726,11.1,1.5,Manhattan
997,20.9,1.5,Manhattan
551,10.2,1.5,Brooklyn
41,0.9,1.5,Manhattan
461,14.5,1.5,Manhattan
2153,24,1.5,Manhattan
569,11.5,1.5,Brooklyn
645,4.3,1.5,Brooklyn
480,6.4,1.5,Manhattan
900,34.5,1.5,Manhattan
505,21.3,1.5,Brooklyn
1575,70,1.5,Manhattan
4200,70,1.5,Brooklyn
338,14.1,1.5,Manhattan
670,29.4,1.5,Brooklyn
585,26,1.5,Brooklyn
806,35.8,1.5,Brooklyn
2625,70,1.5,Manhattan
2728,23.5,1.5,Manhattan
1057,37.1,1.5,Manhattan
532,17.9,1.5,Manhattan
265,7.3,1.5,Manhattan
893,39.7,1.5,Manhattan
1690,59.3,1.5,Manhattan
176,3,1.5,Manhattan
